"response_index","n_pairs","direct_sig","a_sig","b_sig","c_sig","a_flip","b_flip","c_flip","a_spurious_weak","a_spurious_strong","a_spurious","b_spurious_weak","b_spurious_strong","b_spurious","c_spurious_weak","c_spurious_strong","c_spurious","a_error_rate","b_error_rate","c_error_rate"
1,27028,1063,4739,1587,5746,10694,6226,10600,1275,0,1275,50,0,50,1476,2,1478,0.269,0.0315,0.2572
2,27028,1259,1879,1725,2446,8226,5822,8185,173,0,173,25,0,25,240,0,240,0.0921,0.0145,0.0981
3,27028,1282,5922,1966,5922,10539,5809,10539,1656,2,1658,68,0,68,1656,2,1658,0.28,0.0346,0.28
4,27028,2163,2767,2788,3586,7040,4957,7655,70,0,70,30,0,30,167,0,167,0.0253,0.0108,0.0466
5,27028,2482,2997,3156,3609,6048,4177,6472,14,0,14,54,0,54,44,0,44,0.0047,0.0171,0.0122
