"fit_key","model_index","response_index","response_var","spec_index","spec_code","domain","gamma"
"best_fit_1a",1,1,"F1_Direct",1,"a","EL64",0.0208980942710443
"best_fit_1a",1,1,"F1_Direct",1,"a","EL65",0.0176524904339825
"best_fit_1a",1,1,"F1_Direct",1,"a","ES11",0.027970275742405
"best_fit_1a",1,1,"F1_Direct",1,"a","ES12",0.00236060146758156
"best_fit_1a",1,1,"F1_Direct",1,"a","ES13",0.00657520338308805
"best_fit_1a",1,1,"F1_Direct",1,"a","ES21",0.0148610628442773
"best_fit_1a",1,1,"F1_Direct",1,"a","ES22",0.00849926854557083
"best_fit_1a",1,1,"F1_Direct",1,"a","ES23",0.000993801063019282
"best_fit_1a",1,1,"F1_Direct",1,"a","ES24",0.0104665377751212
"best_fit_1a",1,1,"F1_Direct",1,"a","ES30",0.0498972589083489
"best_fit_1a",1,1,"F1_Direct",1,"a","ES41",0.020512961995676
"best_fit_1a",1,1,"F1_Direct",1,"a","ES42",0.0138408479029567
"best_fit_1a",1,1,"F1_Direct",1,"a","ES43",0.0117243678171345
"best_fit_1a",1,1,"F1_Direct",1,"a","ES51",0.0410762829107346
"best_fit_1a",1,1,"F1_Direct",1,"a","ES52",0.0316805029906171
"best_fit_1a",1,1,"F1_Direct",1,"a","ES53",0.00185282667787515
"best_fit_1a",1,1,"F1_Direct",1,"a","ES61",0.0606737640576687
"best_fit_1a",1,1,"F1_Direct",1,"a","ES62",0.0086169237774597
"best_fit_1a",1,1,"F1_Direct",1,"a","ES70",0.00709702929961504
"best_fit_1a",1,1,"F1_Direct",1,"a","FI193",0.0133626853427184
"best_fit_1a",1,1,"F1_Direct",1,"a","FI194",0.00910933205086142
"best_fit_1a",1,1,"F1_Direct",1,"a","FI195",0.0081650044204966
"best_fit_1a",1,1,"F1_Direct",1,"a","FI196",0.0123652234113962
"best_fit_1a",1,1,"F1_Direct",1,"a","FI197",0.0331997203162826
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1B1",0.0742969337829241
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1C1",0.0258580888964967
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1C2",0.00734334657087953
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1C3",0.0129624796974869
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1C4",0.0134001520672303
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1C5",0.00608530820001996
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D1",0.00713210160266429
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D2",0.0146686618142219
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D3",0.00898364291218535
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D5",0.00230980920265152
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D7",0.00815856397623259
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D8",0.00537999831854167
"best_fit_1a",1,1,"F1_Direct",1,"a","FI1D9",0.0144368840924773
"best_fit_1a",1,1,"F1_Direct",1,"a","FR10",0.0417020582622572
"best_fit_1a",1,1,"F1_Direct",1,"a","FRB0",0.0154902835926341
"best_fit_1a",1,1,"F1_Direct",1,"a","FRC1",0.00805857739879544
"best_fit_1a",1,1,"F1_Direct",1,"a","FRC2",0.00617342991142071
"best_fit_1a",1,1,"F1_Direct",1,"a","FRD1",0.00412997049513832
"best_fit_1a",1,1,"F1_Direct",1,"a","FRD2",0.0126905878792071
"best_fit_1a",1,1,"F1_Direct",1,"a","FRE1",0.0191760053932414
"best_fit_1a",1,1,"F1_Direct",1,"a","FRE2",0.00947570697840471
"best_fit_1a",1,1,"F1_Direct",1,"a","FRF1",0.00953754500952698
"best_fit_1a",1,1,"F1_Direct",1,"a","FRF2",0.00484740941244959
"best_fit_1a",1,1,"F1_Direct",1,"a","FRF3",0.0123495828227773
"best_fit_1a",1,1,"F1_Direct",1,"a","FRG0",0.0226126944108136
"best_fit_1a",1,1,"F1_Direct",1,"a","FRH0",0.0187234555856504
"best_fit_1a",1,1,"F1_Direct",1,"a","FRI1",0.0174376974297535
"best_fit_1a",1,1,"F1_Direct",1,"a","FRI2",0.00359612356972228
"best_fit_1a",1,1,"F1_Direct",1,"a","FRI3",0.00995494745488809
"best_fit_1a",1,1,"F1_Direct",1,"a","FRJ1",0.00992495175974417
"best_fit_1a",1,1,"F1_Direct",1,"a","FRJ2",0.0140286324094371
"best_fit_1a",1,1,"F1_Direct",1,"a","FRK1",0.00728822161231748
