region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstlgl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,F1W,F2W,F3W,F4W,F5W,F1W_scaled,F2W_scaled,F3W_scaled,F4W_scaled,F5W_scaled
SK023,3,0.6045562,0.3159043,0,5,0,5,2,2,0,0,0,7,10,4,5,0,0,8,8,SK65608,SK0,SK02,SK023,-2.066,-0.287,-2.863,0.691,-1.398,0.3337533753375338,0.4491673970201578,0.2487188549213642,0.5044017247574559,0.36581082211257004
SK022,3,0.57652104,0.3159043,5,6,5,6,1,3,5,7,4,6,6,4,4,7,8,7,5,SK65653,SK0,SK02,SK022,1.093,0.439,1.578,0.82,2.453,0.6180918091809181,0.6082383873794918,0.641102668315957,0.5159899389148401,0.687881575646065
SK031,3,1.1670963,0.3159043,7,5,5,4,1,3,6,8,5,5,7,5,5,3,5,6,5,SK65698,SK0,SK03,SK031,1.356,0.112,2.329,1.222,0.612,0.6417641764176418,0.5365907099035934,0.7074571479059905,0.5521020481494789,0.5339131889269884
SK021,3,1.0772395,0.3159043,2,5,2,4,0,3,5,5,5,2,2,3,3,0,1,4,0,SK65742,SK0,SK02,SK021,-1.008,-0.15,1.101,-0.789,-2.571,0.428982898289829,0.479184925503944,0.5989574129704895,0.3714516708587855,0.26770929162833484
SK032,3,1.4048626,0.3159043,7,7,4,3,3,2,10,6,2,3,5,6,6,9,4,9,6,SK65774,SK0,SK03,SK032,1.751,-0.265,1.629,1.913,2.597,0.6773177317731773,0.4539877300613497,0.6456087647994346,0.6141753503413582,0.6999247302835159
SK023,3,1.9691725,0.3159043,7,7,7,2,0,1,0,0,0,5,7,3,2,2,5,7,2,SK65819,SK0,SK02,SK023,1.763,-1.392,-2.77,-0.529,-0.395,0.6783978397839784,0.20705521472392643,0.2569358543912352,0.3948077614085519,0.449694739483148
SK023,3,0.93481886,0.3159043,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,0,5,SK65840,SK0,SK02,SK023,-3.738,-0.137,-3.018,-3.19,-3.638,0.18325832583258328,0.4820333041191937,0.23502385580491256,0.15576715774344235,0.1784728610855566
SK021,3,1.1923395,0.3159043,5,4,4,4,1,3,1,1,1,5,5,5,5,4,4,5,5,SK65930,SK0,SK02,SK021,0.058,-0.064,-1.94,1.14,0.329,0.5249324932493249,0.4980280455740579,0.33027036578900865,0.5447358965145526,0.5102450447436647
SK010,3,2.039297,0.3159043,0,6,7,6,3,4,3,7,0,6,8,8,8,7,7,3,4,SK65950,SK0,SK01,SK010,0.15,1.071,-0.065,3.477,2.257,0.5332133213321333,0.7467134092900964,0.49593567768156915,0.7546712181099532,0.6714895040562013
SK021,3,1.2064981,0.3159043,4,5,3,3,2,3,4,4,5,3,3,3,2,4,3,4,7,SK65980,SK0,SK02,SK021,-0.148,-0.07,0.716,-0.709,-0.263,0.5063906390639065,0.4967134092900965,0.5649408022618837,0.37863816025871366,0.4607342979008112
