region,regunit,dweight,pweight,ppltrst,pplfair,pplhlp,sclmeet,inprdsc,sclact,imbgeco,imueclt,imwbcnt,trstprl,trstlgl,trstplt,trstprt,stfgov,stfdem,stfedu,stfhlth,unique_id,nuts1,nuts2,nuts3,F1W,F2W,F3W,F4W,F5W,F1W_scaled,F2W_scaled,F3W_scaled,F4W_scaled,F5W_scaled
AT31,2,1.1851145,0.33091453,5,5,5,4,1,3,7,3,5,6,9,5,5,4,6,8,8,AT50014,AT3,AT31,NA,-1.075,-0.352,-0.452,0.445,0.012,0.42295229522952293,0.43492550394390894,0.4617423573069447,0.48230326985267696,0.48373337793760973
AT22,2,0.6098981,0.33091453,10,0,1,7,4,4,6,5,9,6,6,1,0,5,7,10,10,AT50030,AT2,AT22,NA,-1.636,1.007,1.464,-2.044,0.602,0.37245724572457245,0.7326906222611744,0.6310302173528892,0.25871361839741286,0.533076858743832
AT33,2,1.3923296,0.33091453,6,9,8,4,4,3,9,9,8,7,5,4,4,5,6,5,8,AT50057,AT3,AT33,NA,1.095,0.228,2.671,-0.076,-0.031,0.6182718271827183,0.5620070113935145,0.7376745007951936,0.435501257635645,0.48013715815003766
AT31,2,0.5560615,0.33091453,6,6,6,6,3,3,6,6,5,5,6,3,3,4,6,5,2,AT50106,AT3,AT31,NA,-0.337,0.348,0.203,-1.107,-1.26,0.48937893789378945,0.5882997370727432,0.5196147729280792,0.3428853754940711,0.37735217864012716
AT32,2,0.7227953,0.33091453,6,3,8,5,4,3,10,10,10,6,8,5,5,7,8,9,9,AT50145,AT3,AT32,NA,-0.392,0.366,3.791,0.666,1.746,0.48442844284428443,0.5922436459246275,0.8366319137656829,0.5021559468199784,0.628753031696914
AT33,2,0.9926053,0.33091453,8,8,4,6,4,2,5,6,6,3,5,5,5,2,3,3,7,AT50158,AT3,AT33,NA,0.422,0.103,0.343,-0.006,-2.015,0.5576957695769577,0.5346187554776513,0.5319844495493904,0.44178943586058206,0.3142092498118257
AT12,2,0.81462234,0.33091453,8,8,8,4,2,3,6,8,7,9,9,7,6,6,8,6,7,AT50212,AT1,AT12,NA,1.529,-0.109,1.847,2.102,1.541,0.6573357335733574,0.4881682734443471,0.6648701183954763,0.6311534315486884,0.6116082629422096
AT11,2,1.3649563,0.33091453,7,8,7,4,4,3,7,5,5,6,7,3,2,5,8,9,9,AT50213,AT1,AT11,NA,0.802,0.065,0.484,-0.965,0.921,0.5918991899189919,0.5262927256792288,0.544442481003711,0.3556413941789436,0.5597557915865183
AT31,2,0.872949,0.33091453,3,4,3,3,1,1,5,0,0,8,8,8,8,8,7,8,9,AT50235,AT3,AT31,NA,-2.391,-1.553,-3.3,2.808,1.971,0.30450045004500453,0.17177914110429454,0.21010779289627143,0.6945742005030542,0.6475704608179309
AT13,2,0.6989865,0.33091453,5,5,6,4,2,3,6,6,6,6,8,6,6,6,6,6,6,AT50236,AT1,AT13,NA,-0.713,-0.24,0.85,1.264,0.608,0.4555355535553556,0.4594653812445224,0.5767803498851387,0.5558749550844412,0.5335786568537259
AT31,2,0.8320375,0.33091453,5,7,7,4,3,2,10,8,6,6,9,3,3,4,9,8,8,AT50238,AT3,AT31,NA,-0.073,-0.427,1.878,-0.816,0.566,0.5131413141314132,0.4184925503943909,0.6676091182187666,0.36902623068630974,0.5300660700844694
AT31,2,0.87345386,0.33091453,6,7,6,6,2,3,5,5,5,6,4,9,9,10,7,8,8,AT50240,AT3,AT31,NA,0.312,0.234,-0.099,3.457,2.739,0.5477947794779479,0.563321647677476,0.49293161335925073,0.7528745957599712,0.7118006188843354
AT31,2,0.9025512,0.33091453,3,5,5,4,3,2,6,3,2,3,5,0,0,0,0,7,8,AT50248,AT3,AT31,NA,-2.119,-0.601,-1.798,-3.64,-3.884,0.32898289828982896,0.3803680981595092,0.3428167520763386,0.11534315486884658,0.15789913857991136
AT32,2,0.58181804,0.33091453,8,8,9,6,4,3,5,6,3,7,9,8,7,4,8,8,3,AT50270,AT3,AT32,NA,1.645,0.566,-0.462,2.424,0.646,0.6677767776777679,0.6360648553900088,0.46085880897685105,0.6600790513833992,0.5367567115497198
AT13,2,0.69352174,0.33091453,3,8,9,6,2,3,8,10,7,2,6,2,2,2,7,0,7,AT50281,AT1,AT13,NA,-0.004,0.221,2.627,-2.008,-1.579,0.5193519351935194,0.5604732690622262,0.7337868881427814,0.2619475386273805,0.35067324579744086
AT22,2,2.3245115,0.33091453,8,8,8,6,6,3,8,5,5,7,9,6,6,0,7,7,5,AT50310,AT2,AT22,NA,1.471,0.815,0.686,1.627,-0.527,0.6521152115211521,0.6906222611744084,0.5622901572716028,0.5884836507366151,0.4386551810654846
AT33,2,0.9926053,0.33091453,4,5,5,2,1,4,5,5,5,2,4,5,5,4,4,4,7,AT50311,AT3,AT33,NA,-1.428,-0.306,-0.32,-0.057,-1.184,0.3911791179117912,0.44500438212094656,0.47340519526418096,0.43720804886812786,0.38370828803211504
AT33,2,0.48294935,0.33091453,5,7,7,6,2,2,6,4,4,7,7,8,8,8,8,9,10,AT50341,AT3,AT33,NA,0.107,-0.225,-0.546,2.85,2.583,0.5293429342934294,0.46275197195442597,0.4534370030040643,0.6983471074380165,0.698753868027097
AT33,2,0.9926053,0.33091453,5,7,6,5,2,2,6,6,5,4,4,6,6,7,7,5,8,AT50349,AT3,AT33,NA,-0.229,-0.408,0.255,1.051,0.967,0.4990999099909991,0.42265556529360215,0.5242092242445662,0.5367409270571326,0.5636029104290373
AT13,2,0.7366085,0.33091453,5,5,5,6,3,3,3,4,3,4,5,2,2,2,3,4,6,AT50355,AT1,AT13,NA,-1.259,0.194,-1.365,-1.956,-2.415,0.4063906390639065,0.5545574057843997,0.38107439476939386,0.2666187567373338,0.2807560424855733
AT34,2,1.9501987,0.33091453,4,6,4,6,4,4,1,1,1,3,2,2,2,0,1,2,3,AT50358,AT3,AT34,NA,-1.633,0.773,-3.561,-2.333,-4.371,0.37272727272727274,0.6814198071866784,0.187047181480827,0.23275242544017247,0.11716985866019902
AT12,2,1.9560468,0.33091453,7,7,7,6,4,4,6,6,5,5,5,4,4,5,6,6,6,AT50363,AT1,AT12,NA,0.623,0.892,0.588,-0.216,-0.037,0.5757875787578758,0.7074934268185802,0.553631383636685,0.4229249011857707,0.47963536004014384
AT22,2,0.6098981,0.33091453,10,9,7,4,4,2,5,7,4,0,5,0,0,0,3,7,9,AT50367,AT2,AT22,NA,1.655,-0.289,0.2,-3.283,-2.454,0.6686768676867687,0.44872918492550395,0.5193497084290511,0.1474128638160259,0.27749435477126366
AT12,2,1.4462273,0.33091453,8,7,7,4,3,3,6,5,5,5,7,4,2,5,8,8,9,AT50375,AT1,AT12,NA,0.809,-0.069,0.29,-0.652,0.89,0.5925292529252926,0.4969325153374234,0.5273016433998939,0.3837585339561624,0.5571631680187338
AT31,2,1.298475,0.33091453,5,3,6,6,4,4,5,0,0,2,6,0,2,0,2,9,8,AT50380,AT3,AT31,NA,-1.768,0.751,-3.378,-3.12,-3.07,0.3605760576057606,0.6765994741454864,0.2032161159215409,0.16205533596837945,0.22597641548883501
AT22,2,1.329427,0.33091453,7,9,7,4,3,3,5,4,4,5,8,3,2,6,7,7,7,AT50412,AT2,AT22,NA,1.022,-0.049,-0.547,-0.751,0.648,0.61170117011701175,0.5013146362839614,0.45334864817105497,0.3748652533237513,0.536923977586351
AT22,2,0.4598905,0.33091453,4,4,4,4,4,2,5,5,7,2,4,1,2,2,3,6,7,AT50423,AT2,AT22,NA,-1.998,-0.453,0.492,-2.183,-2.029,0.33987398739873986,0.41279579316389137,0.5451493196677858,0.24622709306503773,0.31303838755540686
AT32,2,1.4547197,0.33091453,5,7,6,3,3,2,7,2,4,0,6,0,0,0,0,8,8,AT50427,AT3,AT32,NA,-0.777,-0.715,-1.204,-3.881,-3.772,0.4497749774977498,0.355390008764242,0.3952995228839018,0.09369385555156311,0.16726603663126205
AT13,2,0.6670056,0.33091453,8,10,8,4,2,3,8,8,7,5,9,3,3,6,5,4,7,AT50433,AT1,AT13,NA,1.872,-0.089,2.164,-0.882,-0.217,0.6882088208820882,0.4925503943908852,0.6928786004594452,0.36309737693136906,0.4645814167433303
AT11,2,0.9669464,0.33091453,6,6,6,5,3,3,5,4,5,8,7,8,7,8,9,8,9,AT50441,AT1,AT11,NA,0.008,0.081,-0.115,2.774,2.82,0.5204320432043205,0.5297984224364592,0.4915179360311009,0.6915199425080848,0.7185748933679017
AT13,2,0.7417395,0.33091453,8,9,7,6,2,3,5,5,4,5,6,4,4,4,4,5,7,AT50446,AT1,AT13,NA,1.323,0.214,-0.23,-0.295,-0.854,0.6387938793879387,0.5589395267309378,0.48135713023502386,0.4158282429033417,0.4113071840762733
AT13,2,0.7803352,0.33091453,10,9,9,4,4,3,8,8,8,4,8,5,5,0,4,6,5,AT50465,AT1,AT13,NA,2.429,0.235,2.496,0.231,-1.772,0.7383438343834383,0.5635407537248028,0.7222124050185545,0.4630794107078692,0.33453207326252404
AT13,2,1.5597948,0.33091453,7,7,7,6,2,4,7,5,3,8,9,5,5,7,9,7,7,AT50489,AT1,AT13,NA,0.689,0.604,-0.093,0.921,1.778,0.5817281728172817,0.6443908851884312,0.49346174235730694,0.5250628817822494,0.6314292882830141
AT34,2,1.4378188,0.33091453,8,8,9,6,0,4,7,3,3,5,5,5,5,3,5,8,5,AT50512,AT3,AT34,NA,1.438,0.446,-0.993,0.319,-0.787,0.6491449144914492,0.6097721297107801,0.4139423926488779,0.47098454904779014,0.4169105963034206
AT22,2,0.9332868,0.33091453,7,8,5,2,4,1,8,5,5,7,6,5,3,3,8,8,3,AT50517,AT2,AT22,NA,0.338,-1.157,0.565,0.463,0.17,0.5501350135013502,0.2585451358457494,0.5515992224774696,0.48392022996766076,0.4969473948314794
AT31,2,0.82740283,0.33091453,2,3,3,4,3,3,8,3,4,4,6,4,3,4,5,9,7,AT50577,AT3,AT31,NA,-2.982,-0.189,-0.67,-0.782,-0.624,0.2513051305130513,0.4706397896581946,0.442481003710903,0.3720804886812792,0.43054277828886844
AT31,2,0.41601875,0.33091453,7,5,4,6,5,4,4,0,0,0,8,1,1,0,0,5,3,AT50591,AT3,AT31,NA,-1.077,0.925,-3.576,-3.294,-4.535,0.4227722772277228,0.7147239263803682,0.18572185898568652,0.14642472152353575,0.10345404365643557
AT11,2,0.9099707,0.33091453,7,8,7,5,4,3,9,9,9,9,10,8,9,9,9,10,9,AT50623,AT1,AT11,NA,1.324,0.369,3.428,3.528,3.652,0.6388838883888389,0.5929009640666083,0.8045591093832832,0.7592526051024073,0.7881575646065065
AT13,2,0.68042654,0.33091453,7,8,8,2,2,5,5,7,5,8,8,5,4,6,8,5,8,AT50637,AT1,AT13,NA,1.127,0.32,0.707,0.598,1.077,0.6211521152115211,0.5821647677475899,0.5641456087647995,0.4960474308300395,0.5728025424437567
AT31,2,0.55606145,0.33091453,5,4,4,6,3,3,6,3,4,5,6,2,2,4,6,5,3,AT50638,AT3,AT31,NA,-1.692,0.246,-1.024,-1.834,-1.434,0.36741674167416744,0.5659509202453988,0.41120339282558754,0.2775781530722242,0.3628000334532073
AT12,2,0.4991056,0.33091453,7,7,7,6,4,4,6,7,5,5,5,3,4,4,5,4,6,AT50651,AT1,AT12,NA,0.576,0.902,0.84,-0.717,-0.916,0.5715571557155715,0.7096844872918493,0.5758968015550451,0.3779195113187208,0.40612193694070414
AT21,2,1.159529,0.33091453,6,3,5,5,3,2,5,5,5,4,7,2,2,4,4,6,7,AT50681,AT2,AT21,NA,-1.441,-0.387,-0.095,-1.475,-1.038,0.39000900090009005,0.42725679228746716,0.49328503269128826,0.3098275242544017,0.39591870870619716
AT13,2,0.7417395,0.33091453,7,8,8,4,2,2,6,6,6,6,7,5,6,4,9,7,9,AT50687,AT1,AT13,NA,1.064,-0.596,0.906,0.946,1.219,0.6154815481548155,0.38146362839614373,0.5817282205336631,0.5273086597197268,0.5846784310445764
AT33,2,1.021017,0.33091453,5,5,4,5,3,3,5,5,5,4,4,4,4,4,4,4,4,AT50707,AT3,AT33,NA,-1.333,0.103,-0.316,-0.584,-1.609,0.39972997299729973,0.5346187554776513,0.47375861459621843,0.38986704994610133,0.3481642552479719
AT21,2,2.319058,0.33091453,7,7,5,3,4,2,6,5,5,8,10,8,7,5,8,7,8,AT50714,AT2,AT21,NA,0.309,-0.536,0.275,3.005,1.717,0.5475247524752476,0.39460999123575813,0.5259763209047535,0.7122709306503773,0.6263276741657606
AT34,2,0.80748725,0.33091453,7,8,7,6,1,2,8,8,8,7,10,6,5,5,10,7,7,AT50730,AT3,AT34,NA,0.965,-0.243,2.224,1.154,1.448,0.6065706570657066,0.4588080631025417,0.6981798904400071,0.54599353215954,0.6038303922388559
AT12,2,0.3912093,0.33091453,6,7,6,6,4,4,2,3,1,3,5,1,1,0,1,6,8,AT50735,AT1,AT12,NA,-0.287,0.78,-2.453,-2.8,-3.304,0.49387938793879393,0.6829535495179667,0.2849443364552041,0.190801293568092,0.20640628920297735
AT21,2,0.4114013,0.33091453,6,3,3,6,4,4,6,5,5,5,5,2,3,5,6,8,8,AT50868,AT2,AT21,NA,-1.624,0.794,0.176,-0.989,0.175,0.3735373537353736,0.6860210341805434,0.5172291924368263,0.35348544735896514,0.4973655599230576
AT12,2,0.5487113,0.33091453,8,7,8,6,3,3,4,4,4,9,10,9,9,9,9,9,9,AT50897,AT1,AT12,NA,1.354,0.327,-0.539,3.902,3.524,0.6415841584158416,0.5836985100788782,0.4540554868351299,0.7928494430470715,0.7774525382621058
AT11,2,0.5079797,0.33091453,5,5,5,4,3,3,8,9,8,10,10,10,10,8,9,9,9,AT50910,AT1,AT11,NA,-0.5,-0.047,2.845,4.652,3.493,0.47470747074707476,0.5017528483786152,0.7530482417388231,0.8602227811713977,0.7748599146943214
AT13,2,1.483479,0.33091453,3,8,8,3,4,2,0,0,0,4,4,1,1,5,5,5,5,AT50994,AT1,AT13,NA,-0.639,-0.741,-4.024,-2.523,-1.247,0.4621962196219622,0.34969325153374237,0.14613889379749073,0.21568451311534315,0.3784394078782303
AT12,2,1.2219335,0.33091453,6,7,8,7,4,3,6,2,2,6,5,3,4,4,6,5,2,AT50995,AT1,AT12,NA,0.333,0.584,-1.547,-0.652,-0.978,0.5496849684968498,0.6400087642418931,0.3649938151616894,0.3837585339561624,0.4009366898051351
AT33,2,0.9658987,0.33091453,2,9,1,2,2,2,5,4,3,2,2,2,2,2,2,2,2,AT51015,AT3,AT33,NA,-2.037,-1.094,-1.383,-2.35,-3.575,0.33636363636363636,0.27234881682734446,0.3794840077752253,0.23122529644268774,0.18374174123944131
AT13,2,0.65483123,0.33091453,5,6,6,3,3,3,7,5,6,4,6,4,5,4,7,6,7,AT51029,AT1,AT13,NA,-0.541,-0.3,0.735,-0.064,0.074,0.471017101710171,0.44631901840490806,0.5666195440890617,0.4365792310456342,0.48891862507317885
AT31,2,1.6681843,0.33091453,6,4,3,4,2,3,7,3,3,5,8,2,2,2,5,8,6,AT51042,AT3,AT31,NA,-1.666,-0.27,-1.178,-1.857,-1.625,0.3697569756975698,0.4528921998247152,0.3975967485421453,0.27551203736974483,0.3468261269549218
AT34,2,0.47378042,0.33091453,4,4,9,5,1,3,2,1,2,7,9,2,3,5,9,8,7,AT51046,AT3,AT34,NA,-1.042,-0.244,-2.942,-1.192,0.469,0.42592259225922596,0.4585889570552147,0.2417388231136243,0.33524973050664747,0.5219536673078532
AT31,2,0.41370142,0.33091453,8,9,10,6,3,5,5,3,2,9,10,6,6,8,7,8,7,AT51086,AT3,AT31,NA,2.132,1.279,-1.565,1.629,1.618,0.7116111611161117,0.7922874671340929,0.36340342816752075,0.5886633129716133,0.6180480053525131
AT12,2,1.6209534,0.33091453,8,7,7,4,4,3,6,5,4,5,7,5,3,5,8,8,8,AT51112,AT1,AT12,NA,0.849,0.062,-0.013,0.031,0.963,0.5961296129612962,0.525635407537248,0.5005301289980563,0.4451131872080488,0.5632683783557748
AT13,2,2.2314548,0.33091453,9,7,7,5,3,4,7,4,5,5,8,4,4,2,4,1,8,AT51128,AT1,AT13,NA,1.082,0.597,0.179,-0.389,-1.776,0.6171017101710171,0.6428571428571429,0.5174942569358544,0.4073841178584261,0.33419754118926154
AT34,2,1.2440618,0.33091453,7,8,8,6,4,3,6,7,6,8,7,6,6,6,6,7,7,AT51136,AT3,AT34,NA,1.173,0.572,0.945,1.436,0.707,0.6252925292529253,0.6373794916739702,0.5851740590210285,0.5713259072942867,0.5418583256669733
AT12,2,1.073635,0.33091453,8,8,7,4,2,2,4,5,4,5,8,4,4,4,5,6,8,AT51190,AT1,AT12,NA,0.965,-0.631,-0.459,-0.261,-0.382,0.6065706570657066,0.37379491673970205,0.4611238734758792,0.41888250089831114,0.45078196872125115
AT31,2,0.8656501,0.33091453,9,9,9,3,1,1,5,5,5,2,10,0,0,8,8,8,8,AT51191,AT3,AT31,NA,1.725,-1.309,-0.248,-3.177,0.798,0.6749774977497751,0.22524101665205964,0.4797667432408553,0.15693496227093065,0.5494689303336957
AT12,2,0.99821126,0.33091453,7,7,7,5,4,4,5,4,3,4,5,2,3,3,6,6,3,AT51192,AT1,AT12,NA,0.41,0.653,-0.87,-1.536,-1.255,0.5566156615661566,0.6551270815074497,0.42481003710902987,0.3043478260869565,0.37777034373170526
AT31,2,1.3078376,0.33091453,8,8,8,5,3,3,10,5,10,6,8,5,5,7,7,3,10,AT51221,AT3,AT31,NA,1.471,0.295,2.429,0.609,0.925,0.6521152115211521,0.5766871165644172,0.716292631206927,0.4970355731225296,0.5600903236597808
AT12,2,0.8146224,0.33091453,6,7,7,6,3,4,6,6,3,7,7,6,7,7,8,8,8,AT51224,AT1,AT12,NA,0.468,0.733,0.008,1.779,1.939,0.5618361836183619,0.6726555652936022,0.5023855804912529,0.6021379805964786,0.6448942042318307
AT21,2,0.426831,0.33091453,7,8,7,7,4,3,5,5,5,7,8,5,5,6,7,6,8,AT51259,AT2,AT21,NA,0.973,0.682,0.118,1.106,1.118,0.6072907290729073,0.6614811568799299,0.5121046121222831,0.5416816385195832,0.5762314961946977
AT13,2,1.3870435,0.33091453,7,7,8,5,3,3,6,5,4,4,6,3,2,4,8,7,8,AT51262,AT1,AT13,NA,0.66,0.108,-0.051,-1.228,0.243,0.5791179117911791,0.5357142857142858,0.4971726453437003,0.33201581027667987,0.5030526051685206
AT12,2,1.6104527,0.33091453,4,5,4,6,3,3,2,2,2,3,3,1,1,1,2,5,5,AT51285,AT1,AT12,NA,-1.885,0.134,-2.493,-2.825,-3.211,0.35004500450045006,0.5414110429447853,0.2814101431348295,0.18855551563061443,0.21418415990633105
AT33,2,0.340339,0.33091453,5,7,9,5,4,2,2,1,2,7,10,2,1,9,5,7,9,AT51322,AT3,AT33,NA,0.058,-0.234,-2.909,-1.693,0.507,0.5249324932493249,0.4607800175284838,0.2446545326029334,0.29024434063959753,0.5251317220038471
AT31,2,0.5560615,0.33091453,7,8,8,5,3,2,3,5,4,4,7,2,2,1,2,5,8,AT51414,AT3,AT31,NA,0.673,-0.253,-1.014,-2.023,-2.783,0.5802880288028803,0.4566170026292726,0.41208694115568123,0.260600071864894,0.2499790917454211
AT32,2,0.581818,0.33091453,4,6,6,4,3,2,10,5,5,6,8,0,0,4,4,3,3,AT51440,AT3,AT32,NA,-1.15,-0.502,0.573,-3.178,-2.445,0.4162016201620163,0.40205959684487297,0.5523060611415445,0.15684513115343157,0.2782470519361044
AT12,2,2.165643,0.33091453,8,7,8,4,4,3,5,5,4,6,8,5,3,5,8,7,8,AT51455,AT1,AT12,NA,1.038,0.067,-0.2,0.118,0.876,0.6131413141314132,0.5267309377738826,0.4840077752253048,0.45292849443047073,0.555992305762315
AT22,2,0.37437,0.33091453,4,5,5,6,3,4,5,1,1,6,10,5,5,6,6,8,7,AT51503,AT2,AT22,NA,-1.276,0.619,-2.377,0.92,0.791,0.4048604860486049,0.6476774758983349,0.2916593037639159,0.5249730506647502,0.5488834992054863
AT12,2,2.495528,0.33091453,7,6,7,4,4,3,6,6,5,6,5,4,5,2,5,6,7,AT51506,AT1,AT12,NA,0.235,0.066,0.522,0.034,-0.955,0.5408640864086409,0.5265118317265557,0.5477999646580668,0.44538268056054614,0.4028602492263946
AT13,2,1.3608531,0.33091453,8,5,7,6,3,3,9,8,5,7,10,7,7,6,8,10,9,AT51521,AT1,AT13,NA,0.577,0.353,1.786,2.225,2.161,0.5716471647164717,0.5893952673093779,0.659480473581905,0.642202659001078,0.6634607342979008
AT12,2,0.53514904,0.33091453,7,7,6,5,2,3,3,4,2,4,6,2,2,0,3,5,7,AT51555,AT1,AT12,NA,0.021,-0.073,-1.66,-1.966,-2.721,0.5216021602160216,0.4960560911481157,0.35500971903163103,0.26572044556234276,0.2551643388809902
AT34,2,1.2337465,0.33091453,5,5,3,5,3,4,8,8,8,3,5,1,1,5,5,8,8,AT51578,AT3,AT34,NA,-1.442,0.571,2.075,-2.598,-0.724,0.38991899189918994,0.6371603856266433,0.6850150203216117,0.20894717930291054,0.4221794764573053
AT22,2,0.6098981,0.33091453,8,9,7,4,4,3,9,8,7,8,9,6,5,8,7,8,9,AT51581,AT2,AT22,NA,1.679,0.197,2.41,1.752,2.248,0.6708370837083709,0.5552147239263804,0.7146138893797492,0.5997125404240028,0.6707368068913606
AT33,2,0.8885217,0.33091453,8,8,8,6,3,3,7,5,5,7,8,6,6,5,7,8,8,AT51596,AT3,AT33,NA,1.419,0.432,0.261,1.358,0.87,0.6474347434743475,0.6067046450482033,0.5247393532426224,0.5643190801293567,0.5554905076524211
AT21,2,0.5797645,0.33091453,6,10,6,4,4,3,7,10,10,4,6,1,1,1,1,1,1,AT51650,AT2,AT21,NA,0.771,0.208,3.321,-2.367,-3.827,0.5891089108910892,0.5576248904469764,0.7951051422512813,0.22969816744520302,0.16266622062390232
AT11,2,0.7275956,0.33091453,7,7,8,5,3,3,7,4,4,4,7,5,3,6,9,8,9,AT51713,AT1,AT11,NA,0.775,0.109,-0.088,-0.002,1.576,0.5894689468946895,0.5359333917616127,0.49390351652235376,0.4421487603305785,0.6145354185832567
AT34,2,0.47378042,0.33091453,2,4,1,4,2,2,5,5,3,2,7,2,2,5,5,7,3,AT51719,AT3,AT34,NA,-3.28,-0.784,-1.075,-2.139,-1.312,0.22448244824482452,0.3402716914986854,0.4066972963421099,0.2501796622349982,0.3730032616877143
AT13,2,2.946434,0.33091453,8,8,8,4,4,3,8,8,8,6,7,5,5,3,5,5,4,AT51731,AT1,AT13,NA,1.413,0.179,2.483,0.492,-0.862,0.6468946894689469,0.551270815074496,0.7210637921894327,0.48652533237513473,0.41063811992974825
AT12,2,0.51291066,0.33091453,5,5,5,3,2,2,2,2,2,8,8,3,4,4,4,5,6,AT51735,AT1,AT12,NA,-1.309,-0.979,-2.442,-0.527,-1.136,0.4018901890189019,0.29754601226993865,0.2859162396183071,0.3949874236435501,0.38772267291126533
AT12,2,0.95292634,0.33091453,4,5,8,4,2,2,0,0,0,5,3,1,1,1,0,3,4,AT51736,AT1,AT12,NA,-1.305,-0.821,-4.119,-2.727,-4.03,0.4022502250225023,0.3321647677475899,0.13774518466160102,0.19735896514552642,0.1456887179058292
AT31,2,1.112123,0.33091453,5,2,5,1,1,1,4,4,4,0,7,0,0,0,1,2,1,AT51741,AT3,AT31,NA,-2.539,-1.874,-1.358,-4.039,-4.915,0.2911791179117912,0.10144609991235759,0.3816928786004595,0.07950053898670505,0.0716734966964958
AT12,2,1.2219335,0.33091453,8,9,9,7,5,3,4,5,4,9,9,7,6,6,6,8,7,AT51757,AT1,AT12,NA,1.981,0.828,-0.296,2.064,1.165,0.6980198019801981,0.6934706397896582,0.4755257112564057,0.6277398490837226,0.5801622480555323
AT13,2,0.7366085,0.33091453,3,3,3,6,6,2,5,4,4,0,0,0,0,0,2,3,4,AT51766,AT1,AT13,NA,-2.938,0.092,-0.785,-3.877,-4.057,0.2552655265526553,0.5322085889570553,0.43232019791482595,0.0940531800215595,0.14343062641130716
AT12,2,0.46543378,0.33091453,10,5,4,6,0,1,5,4,4,4,3,3,5,6,5,5,5,AT51773,AT1,AT12,NA,0.073,-0.995,-0.595,-0.517,-0.322,0.5262826282628263,0.29404031551270815,0.44910761618660544,0.3958857348185411,0.455799949820189
AT31,2,1.6681843,0.33091453,6,8,6,4,2,3,8,4,3,3,7,0,0,0,0,10,10,AT51780,AT3,AT31,NA,-0.088,-0.178,-0.707,-3.527,-3.244,0.5117911791179118,0.4730499561787906,0.4392118748895565,0.12549407114624506,0.21142427030191518
AT21,2,0.5797645,0.33091453,8,8,8,6,4,3,5,4,5,7,9,6,6,5,6,8,7,AT51857,AT2,AT21,NA,1.459,0.514,-0.149,1.765,0.895,0.6510351035103511,0.6246713409290097,0.48851387170878247,0.6008803449514911,0.5575813331103119
AT22,2,0.41946852,0.33091453,8,8,2,2,2,2,10,8,8,7,9,5,5,2,8,7,8,AT51878,AT2,AT22,NA,0.214,-0.931,2.774,1.032,0.462,0.538973897389739,0.30806310254163016,0.7467750485951582,0.5350341358246496,0.5213682361796437
AT22,2,0.49469304,0.33091453,9,9,10,6,4,4,7,7,7,6,8,5,5,8,8,8,8,AT51901,AT2,AT22,NA,2.587,1.037,1.804,1.172,2.258,0.7525652565256526,0.7392638036809817,0.6610708605760736,0.5476104922745239,0.671573137074517
AT22,2,0.74874,0.33091453,6,6,6,6,1,2,6,4,4,5,5,5,5,6,6,7,7,AT51944,AT2,AT22,NA,-0.236,-0.409,-0.39,0.851,0.776,0.49846984698469854,0.4224364592462752,0.4672203569535254,0.5187747035573123,0.5476290039307519
AT12,2,2.165643,0.33091453,6,6,8,2,3,2,5,2,1,3,2,1,1,7,7,7,7,AT51961,AT1,AT12,NA,-0.191,-1.007,-2.138,-2.437,0.327,0.5025202520252026,0.2914110429447853,0.31277610885315427,0.22340998922026592,0.5100777787070335
AT33,2,0.48294932,0.33091453,5,7,5,6,6,3,5,5,5,3,3,3,3,5,5,7,5,AT51965,AT3,AT33,NA,-0.522,0.716,-0.252,-1.252,-0.808,0.4727272727272727,0.6689307624890447,0.47941332390881786,0.32985986345670143,0.41515430291879235
AT22,2,1.2197962,0.33091453,9,9,9,5,4,3,10,10,8,7,9,6,5,7,7,8,8,AT51977,AT2,AT22,NA,2.426,0.457,3.512,1.647,1.905,0.738073807380738,0.612182296231376,0.81198091535607,0.5902802730865971,0.6420506816090993
AT13,2,0.71400285,0.33091453,5,9,6,6,4,3,5,5,5,5,6,5,6,3,4,8,8,AT52009,AT1,AT13,NA,0.357,0.443,0.088,0.667,-0.478,0.5518451845184519,0.6091148115687993,0.5094539671320022,0.5022457779374775,0.44275319896295057
AT22,2,0.88628477,0.33091453,7,9,5,6,2,4,8,5,2,3,6,2,2,1,8,3,3,AT52020,AT2,AT22,NA,0.585,0.635,-0.379,-1.574,-1.515,0.5723672367236724,0.6511831726555654,0.46819226011662834,0.30093424362199067,0.3560257589696412
AT33,2,1.021017,0.33091453,7,6,8,5,3,2,7,6,5,5,6,3,3,6,7,6,7,AT52035,AT3,AT33,NA,0.359,-0.252,0.431,-0.945,0.211,0.552025202520252,0.45683610867659946,0.5397596748542145,0.3574380165289256,0.5003763485824203
AT33,2,0.5023222,0.33091453,7,8,5,4,3,5,10,6,6,2,7,0,1,0,4,6,7,AT52046,AT3,AT33,NA,0.245,0.889,1.271,-3.289,-2.82,0.5417641764176419,0.7068361086765994,0.6139777345820816,0.14687387711103125,0.24688467006774276
AT12,2,0.4820758,0.33091453,7,6,7,4,4,3,5,5,5,10,10,10,8,7,8,7,8,AT52062,AT1,AT12,NA,0.564,0.07,0.192,4.022,2.435,0.5704770477047705,0.5273882559158632,0.5186428697649762,0.8036291771469637,0.6863761813163838
